"","name","address","type","lat","lng"
"82","HCMC Museum","Ho Chi Minh City","Museums & Galleries",44.9720842,NA
"83","Cavern Pagoda","Sam Mountain","Religious",NA,NA
"84","Group A","My Son","Religious",37.2946979,NA
"85","Giac Vien Pagoda","Ho Chi Minh City","Religious",10.2354162,NA
"86","Tiger Cages","Con Dao Islands","Architecture",NA,NA
"87","Mariamman Hindu Temple","Ho Chi Minh City","Religious",10.7724397,106.6957479
"88","Thay Pagoda","Thay & Tay Phuong Pagodas","Religious",21.0228836,105.6454835
"89","Ho Chi Minh Museum","Ho Chi Minh City","Museums & Galleries",21.0356034,10.7682712
"90","Vuc Quanh Outdoor War Museum","Dong Hoi & Around","Museums & Galleries",NA,NA
"91","Royal Tombs","Hue","Other",NA,-21.1359696
"92","Quan Cong Temple","Hoi An","Religious",NA,-71.107955
"93","Tomb of Khai Dinh","Hue","Cemeteries, Memorials & Tombs",NA,10.36847
"94","Lat & Lang Dinh An Villages","Dalat & Around","Neighbourhoods & Villages",16.6582202,43.499052
"95","Tay An Pagoda","Sam Mountain","Religious",10.4915476,34.2182433
"96","Thien Hau Pagoda","Ho Chi Minh City","Religious",9.6952045,NA
"97","Ha Chuong Hoi Quan Pagoda","Ho Chi Minh City","Religious",NA,NA
"98","Phu Dung Pagoda","Ha Tien","Religious",35.98801,NA
"99","Bao Dai’s Summer Palace","Dalat","Architecture",NA,NA
"100","Vinh Moc Tunnels","Demilitarised Zone (Dmz)","Historic",NA,NA
"101","Bac Lieu Bird Sanctuary","Around Bac Lieu","Parks & Gardens",32.9087367,-97.584191
"102","Mine Action Visitor Centre","Dong Ha","Museums & Galleries",16.798703,107.105858
"103","An Thoi Islands","Phu Quoc Island","Beaches, Islands & Waterfronts",9.9666667,104
"104","Ba Vi National Park","Ba Vi National Park","Parks & Gardens",NA,21.0700041
"105","Phong Dien Floating Market","Around Can Tho","Markets & Bazaars",NA,NA
"106","Ba Om Pond & Ang Pagoda","Tra Vinh","Religious",NA,NA
"107","Kim Lien","Vinh","Other",NA,21.521638
"108","Tao Dan Park","Ho Chi Minh City","Parks & Gardens",10.7744581,21.0215616
"109","Tomb of Nguyen Sinh Sac","Cao Lanh","Parks & Gardens",NA,NA
"110","Ben Duoc Tunnels","Around Ho Chi Minh City","Other",NA,NA
"111","Quan Am Pagoda","Ho Chi Minh City","Religious",10.8451429,NA
"112","Ho Quyen","Around Hue","Other",22.8068284,NA
"113","Ben Dinh","Cu Chi","Historic",11.1346102,11.1523369
"114","Fish Sauce Factory","Phu Quoc Island","Farms, Workshops & Factories",NA,NA
"115","Tu Lan Caves","Phong Nha-Ke Bang National Park","Natural Landmarks",NA,NA
"116","Can Cau Market","Bac Ha","Markets & Bazaars",NA,NA
"117","Nguyen Trung Truc Temple","Rach Gia","Religious",9.6758283,10.1239437
"118","Cu Chi Tunnels","Cu Chi","Historic",NA,106.5133628
"119","Hon Chong Promontory","Nha Trang","Landmarks & Monuments",NA,NA
"120","Nguom Ngao Cave","Ban Gioc Waterfall & Nguom Ngao Cave","Natural Landmarks",NA,NA
"121","Cai Rang Floating Market","Around Can Tho","Markets & Bazaars",NA,NA
"122","Hamburger Hill","Demilitarised Zone (Dmz)","Historic",NA,53.286648
"123","Truong Son National Cemetery","Demilitarised Zone (Dmz)","Cemeteries, Memorials & Tombs",NA,NA
"124","Thuan An to Vinh HienThuan An Beach","Around Hue","Beaches, Islands & Waterfronts",NA,NA
"125","Sao, Dam & Vong Beaches","Phu Quoc Island","Beaches, Islands & Waterfronts",16.7146178,NA
"126","Ngoc Son Temple","Hanoi","Religious",21.0306862,NA
"127","Tam Thanh and Nhi Thanh Caves","Lang Son","Other",NA,NA
"128","Phu Hai Prison","Con Dao Islands","Architecture",NA,NA
"129","Hang Duong Cemetery","Con Dao Islands","Cemeteries, Memorials & Tombs",NA,NA
"130","Lang Bian Mountain","Dalat","Parks & Gardens",NA,NA
"131","Mekong River Islands","Vinh Long","Beaches, Islands & Waterfronts",NA,NA
"132","Tam Dao National Park","Around Hanoi","Parks & Gardens",21.4841764,105.6110201
"133","Saigon South","Ho Chi Minh City","Neighbourhoods & Villages",10.8230989,106.6296638
"134","Nghia An Hoi Quan Pagoda","Ho Chi Minh City","Religious",NA,NA
"135","One Pillar Pagoda","Hanoi","Religious",NA,10.9503363
"136","Valley of Love","Dalat & Around","Parks & Gardens",NA,26.605964
"137","Bang Lang","Around Can Tho","Nature & Wildlife",NA,NA
"138","Cat Co Cove","Cat Ba Island","Beaches, Islands & Waterfronts",30.6154384,NA
"139","Ben Duoc","Cu Chi","Historic",11.142303,NA
"140","Nha Trang Cathedral","Nha Trang","Religious",12.2387911,NA
"141","Huynh Thuy Le Old House","Sa Dec","Architecture",NA,NA
"142","Long Khanh Pagoda","Quy Nhon","Religious",11.0821031,106.1542342
"143","Suoi Tranh & Suoi Da Ban","Phu Quoc Island","Lakes, Rivers & Waterfalls",10.1785347,104.0136623
"144","Worldwide Arms Museum","Vung Tau","Museums & Galleries",10.3399599,107.0745217
"145","St Joseph Cathedral","Hanoi","Religious",32.7211935,39.9634148
"146","Cai Be Floating Market","Vinh Long","Markets & Bazaars",NA,NA
"147","Tu Hieu Pagoda","Around Hue","Religious",16.4389613,107.5718969
"148","Mosques","Chau Doc","Religious",NA,2.8244601
"149","Ho Chi Minh Trail Museum","Around Hanoi","Museums & Galleries",NA,NA
"150","Phuoc Lam Pagoda","Hoi An","Religious",NA,107.0796646
"151","Tam Coc","Tam Coc","Other",20.2166971,105.9360177
"152","Dieu De National Pagoda","Hue","Religious",NA,NA
"153","Nurseries","Sa Dec","Other",46.3240088,NA
"154","Tam Son Hoi Quan Pagoda","Ho Chi Minh City","Religious",NA,NA
"155","Cao Dai Temple","Danang","Religious",9.9679141,NA
"156","Ngo Mon Gate","Hue","Landmarks & Monuments",NA,NA
"157","Binh Dinh Museum","Quy Nhon","Museums & Galleries",13.773373,109.2275802
"158","Ong Temple","Can Tho","Religious",10.4766436,105.5929376
"159","Nam Giao Esplanade","Around Hue","Architecture",NA,NA
"160","Van Thanh Mieu Temple","Vinh Long","Religious",NA,NA
"161","Vinh Trang Pagoda","My Tho","Religious",NA,105.6813333
"162","Hospital Cave","Cat Ba Island","Historic",NA,-29.8645849
"163","Guangzhou Assembly Hall","Can Tho","Landmarks & Monuments",NA,108.6250896
"164","Tomb of Thoai Ngoc Hau","Sam Mountain","Cemeteries, Memorials & Tombs",NA,10.779357
"165","Du Sinh Church","Dalat & Around","Religious",NA,NA
"166","Halls of the Mandarins","Hue","Architecture",52.5206853,NA
"167","Thach Dong Cave Pagoda","Ha Tien","Religious",NA,NA
"168","Temple","Hoi An","Other",31.0982344,NA
"169","Revolutionary Museum","Con Dao Islands","Museums & Galleries",41.9119897,NA
"170","Dao Tien Endangered Primate Species Centre","Cat Tien National Park","Parks & Gardens",NA,NA
"171","Ong Bon Pagoda","Ho Chi Minh City","Religious",9.2701797,105.8033088
"172","Crémaillère Railway Station","Dalat","Architecture",NA,NA
