"","name","address","type","fullLocation","lat","lng"
"268","Ben Hai River","Demilitarised Zone (Dmz)",NA,"Ben Hai River, Demilitarised Zone (Dmz)",NA,NA
"269","Chuc Thanh Pagoda","Hoi An",NA,"Chuc Thanh Pagoda, Hoi An",NA,NA
"270","Group C","My Son",NA,"Group C, My Son",NA,NA
"271","Museum of Traditional Vietnamese Medicine","Ho Chi Minh City",NA,"Museum of Traditional Vietnamese Medicine, Ho Chi Minh City",NA,NA
"272","Cuc Phuong National Park","Cuc Phuong National Park",NA,"Cuc Phuong National Park, Cuc Phuong National Park",NA,NA
"273","Mubarak Mosque","Chau Doc",NA,"Mubarak Mosque, Chau Doc",NA,NA
"274","Nam Thien Nhat Tru","Around Ho Chi Minh City",NA,"Nam Thien Nhat Tru, Around Ho Chi Minh City",NA,NA
"275","Gia Long Falls","South-West Highlands",NA,"Gia Long Falls, South-West Highlands",NA,NA
"276","Cua Lo Beach","Vinh",NA,"Cua Lo Beach, Vinh",NA,NA
"277","Vung Bau, Dai & Thom Beaches","Phu Quoc Island",NA,"Vung Bau, Dai & Thom Beaches, Phu Quoc Island",NA,NA
"278","Bay Canh","Con Dao Islands",NA,"Bay Canh, Con Dao Islands",NA,NA
"279","Lighthouse","Vung Tau",NA,"Lighthouse, Vung Tau",NA,NA
"280","Cau Castle","Phu Quoc Island",NA,"Cau Castle, Phu Quoc Island",NA,NA
"281","Cemeteries","Dien Bien Phu",NA,"Cemeteries, Dien Bien Phu",NA,NA
"282","Botanic Gardens","Ho Chi Minh City",NA,"Botanic Gardens, Ho Chi Minh City",NA,NA
"283","Co Ha Gardens","Hue",NA,"Co Ha Gardens, Hue",NA,NA
"284","Quan Thang House","Hoi An",NA,"Quan Thang House, Hoi An",NA,NA
"285","Bai Dram Trau","Con Dao Islands",NA,"Bai Dram Trau, Con Dao Islands",NA,NA
"286","Bao Quoc Pagoda","Hue",NA,"Bao Quoc Pagoda, Hue",NA,NA
"287","Sapa Museum","Sapa",NA,"Sapa Museum, Sapa",NA,NA
"288","Long Xuyen Catholic Church","Long Xuyen",NA,"Long Xuyen Catholic Church, Long Xuyen",NA,NA
"289","Ethnographic Museum","South-West Highlands",NA,"Ethnographic Museum, South-West Highlands",NA,NA
"290","Cuong Hoan Traditional Silk Centre","Dalat & Around",NA,"Cuong Hoan Traditional Silk Centre, Dalat & Around",NA,NA
"291","National Oceanographic Museum","Nha Trang",NA,"National Oceanographic Museum, Nha Trang",NA,NA
"292","Victory Monument","Buon Ma Thuot",NA,"Victory Monument, Buon Ma Thuot",NA,NA
"293","Assembly Hall","Hoi An",NA,"Assembly Hall, Hoi An",NA,NA
"294","Soc Trang Museum","Soc Trang",NA,"Soc Trang Museum, Soc Trang",NA,NA
"295","Truong San Residence","Hue",NA,"Truong San Residence, Hue",NA,NA
"296","Xuan Huong Lake","Dalat",NA,"Xuan Huong Lake, Dalat",NA,NA
"297","Seminary & Hill-Tribe Museum","Kon Tum",NA,"Seminary & Hill-Tribe Museum, Kon Tum",NA,NA
"298","Handicraft Workshop","Hoi An",NA,"Handicraft Workshop, Hoi An",NA,NA
"299","Lam Dong Museum","Dalat",NA,"Lam Dong Museum, Dalat",NA,NA
"300","People’s Committee Building","Ho Chi Minh City",NA,"People’s Committee Building, Ho Chi Minh City",NA,NA
"301","Can Tho Museum","Can Tho",NA,"Can Tho Museum, Can Tho",NA,NA
"302","Vien Minh Pagoda","Ben Tre",NA,"Vien Minh Pagoda, Ben Tre",NA,NA
"303","Po Shanu Cham Towers","Mui Ne",NA,"Po Shanu Cham Towers, Mui Ne",NA,NA
"304","Quan Thanh Temple","Hanoi",NA,"Quan Thanh Temple, Hanoi",NA,NA
"305","Camp Carroll","Demilitarised Zone (Dmz)",NA,"Camp Carroll, Demilitarised Zone (Dmz)",NA,NA
"306","Ba Le Well","Hoi An",NA,"Ba Le Well, Hoi An",NA,NA
"307","Buu Long Mountain","Around Ho Chi Minh City",NA,"Buu Long Mountain, Around Ho Chi Minh City",NA,NA
"308","Chau Phu Temple","Chau Doc",NA,"Chau Phu Temple, Chau Doc",NA,NA
"309","Hang Pagoda","Tra Vinh",NA,"Hang Pagoda, Tra Vinh",NA,NA
"310","Dong Thap Museum","Cao Lanh",NA,"Dong Thap Museum, Cao Lanh",NA,NA
"311","White Villa","Vung Tau",NA,"White Villa, Vung Tau",NA,NA
"312","30 Thang 4 Park","Chau Doc",NA,"30 Thang 4 Park, Chau Doc",NA,NA
"313","Bau Truc Village","Phan Rang & Thap Cham",NA,"Bau Truc Village, Phan Rang & Thap Cham",NA,NA
"314","Ambassadors’ Pagoda","Hanoi",NA,"Ambassadors’ Pagoda, Hanoi",NA,NA
"315","An Quang Pagoda","Ho Chi Minh City",NA,"An Quang Pagoda, Ho Chi Minh City",NA,NA
"316","My Son","My Son",NA,"My Son, My Son",NA,NA
"317","Du Hang Pagoda","Haiphong",NA,"Du Hang Pagoda, Haiphong",NA,NA
"318","Saigon Race Track","Ho Chi Minh City",NA,"Saigon Race Track, Ho Chi Minh City",NA,NA
"319","Lenin Park","Hanoi",NA,"Lenin Park, Hanoi",NA,NA
"320","Royal Theatre","Hue",NA,"Royal Theatre, Hue",NA,NA
"321","Ba Be National Park","Ba Be National Park",NA,"Ba Be National Park, Ba Be National Park",NA,NA
"322","Thuy Son","Marble Mountains",NA,"Thuy Son, Marble Mountains",NA,NA
"323","Khanh Hoa Museum","Nha Trang",NA,"Khanh Hoa Museum, Nha Trang",NA,NA
"324","Tomb of Dong Khanh","Around Hue",NA,"Tomb of Dong Khanh, Around Hue",NA,NA
"325","Banh It Cham Towers","Cha Ban Cham Area",NA,"Banh It Cham Towers, Cha Ban Cham Area",NA,NA
"326","Dam Doi Bird Sanctuary","Mekong Delta",NA,"Dam Doi Bird Sanctuary, Mekong Delta",NA,NA
"327","Tombs of Spanish and French Soldiers","Around Danang",NA,"Tombs of Spanish and French Soldiers, Around Danang",NA,NA
"328","Ngu Phung","Hue",NA,"Ngu Phung, Hue",NA,NA
"329","Emperor's Reading Room","Hue",NA,"Emperor's Reading Room, Hue",NA,NA
"330","Truc Bach Lake","Hanoi",NA,"Truc Bach Lake, Hanoi",NA,NA
"331","Linh Phuoc Pagoda","Dalat & Around",NA,"Linh Phuoc Pagoda, Dalat & Around",NA,NA
"332","Cua Can Beach","Phu Quoc Island",NA,"Cua Can Beach, Phu Quoc Island",NA,NA
"333","Ham Ho","Ham Ho Nature Reserve",NA,"Ham Ho, Ham Ho Nature Reserve",NA,NA
"334","Opera House","Ho Chi Minh City",NA,"Opera House, Ho Chi Minh City",NA,NA
"335","San Art","Ho Chi Minh City",NA,"San Art, Ho Chi Minh City",NA,NA
"336","Truc Lam Pagoda","Dalat & Around",NA,"Truc Lam Pagoda, Dalat & Around",NA,NA
"337","Craft Markets","Son La",NA,"Craft Markets, Son La",NA,NA
"338","Dray Sap & Dray Nur Falls","Dray Sap & Dray Nur Falls",NA,"Dray Sap & Dray Nur Falls, Dray Sap & Dray Nur Falls",NA,NA
"339","Son My Memorial","Son My (My Lai)",NA,"Son My Memorial, Son My (My Lai)",NA,NA
"340","Assembly Hall of the Hainan Chinese Congregation","Hoi An",NA,"Assembly Hall of the Hainan Chinese Congregation, Hoi An",NA,NA
"341","Ho Chi Minh Museum","Pleiku",NA,"Ho Chi Minh Museum, Pleiku",NA,NA
"342","Long Thanh Gallery","Nha Trang",NA,"Long Thanh Gallery, Nha Trang",NA,NA
"343","Ho Chi Minh Museum","Danang",NA,"Ho Chi Minh Museum, Danang",NA,NA
"344","Tran Quoc Pagoda","Hanoi",NA,"Tran Quoc Pagoda, Hanoi",NA,NA
"345","Nha Tu Phu Quoc","Phu Quoc Island",NA,"Nha Tu Phu Quoc, Phu Quoc Island",NA,NA
"346","Old Town","Hoi An",NA,"Old Town, Hoi An",NA,NA
"347","Vam Sat","Can Gio",NA,"Vam Sat, Can Gio",NA,NA
"348","Datanla Falls","Dalat & Around",NA,"Datanla Falls, Dalat & Around",NA,NA
"349","Danang Cathedral","Danang",NA,"Danang Cathedral, Danang",NA,NA
"350","Tay Ho Pagoda","Hanoi",NA,"Tay Ho Pagoda, Hanoi",NA,NA
"351","Chien Dan","Chien Dan",NA,"Chien Dan, Chien Dan",NA,NA
"352","Endangered Primate Rescue Center","Cuc Phuong National Park",NA,"Endangered Primate Rescue Center, Cuc Phuong National Park",NA,NA
"353","Cho Quan Church","Ho Chi Minh City",NA,"Cho Quan Church, Ho Chi Minh City",NA,NA
"354","Bamboo Lagoon","Con Dao Islands",NA,"Bamboo Lagoon, Con Dao Islands",NA,NA
"355","Bai Tu Long National Park","Halong Bay",NA,"Bai Tu Long National Park, Halong Bay",NA,NA
"356","Yok Don National Park","Yok Don National Park",NA,"Yok Don National Park, Yok Don National Park",NA,NA
"357","Hung Vuong Roundabout","Soc Trang",NA,"Hung Vuong Roundabout, Soc Trang",NA,NA
"358","Coconut Tree Prison","Phu Quoc Island",NA,"Coconut Tree Prison, Phu Quoc Island",NA,NA
"359","Crocodile Swamp","Cat Tien National Park",NA,"Crocodile Swamp, Cat Tien National Park",NA,NA
"360","Diep Dong Nguyen House","Hoi An",NA,"Diep Dong Nguyen House, Hoi An",NA,NA
"361","National School","Hue",NA,"National School, Hue",NA,NA
"362","Tomb of Gia Long","Around Hue",NA,"Tomb of Gia Long, Around Hue",NA,NA
"363","Ban Gioc Waterfall","Ban Gioc Waterfall & Nguom Ngao Cave",NA,"Ban Gioc Waterfall, Ban Gioc Waterfall & Nguom Ngao Cave",NA,NA
"364","Co Loa Citadel","Co Loa Citadel",NA,"Co Loa Citadel, Co Loa Citadel",NA,NA
"365","Assembly Hall of the Cantonese Chinese Congregation","Hoi An",NA,"Assembly Hall of the Cantonese Chinese Congregation, Hoi An",NA,NA
"366","Ong Dung Bay","Con Dao Islands",NA,"Ong Dung Bay, Con Dao Islands",NA,NA
"367","Museum of Sa Huynh Culture & Museum of the Revolution","Hoi An",NA,"Museum of Sa Huynh Culture & Museum of the Revolution, Hoi An",NA,NA
"368","Dalat Cathedral","Dalat",NA,"Dalat Cathedral, Dalat",NA,NA
"369","Museum of Folklore in Hoi An","Hoi An",NA,"Museum of Folklore in Hoi An, Hoi An",NA,NA
"370","Ma Thien Lanh Bridge","Con Dao Islands",NA,"Ma Thien Lanh Bridge, Con Dao Islands",NA,NA
"371","Van Lan","Tam Coc",NA,"Van Lan, Tam Coc",NA,NA
"372","Bai Bau","Bai Bau Beach",NA,"Bai Bau, Bai Bau Beach",NA,NA
"373","Munirensay Pagoda","Can Tho",NA,"Munirensay Pagoda, Can Tho",NA,NA
"374","My An & Non Nuoc","China Beach",NA,"My An & Non Nuoc, China Beach",NA,NA
"375","Mr De’s Foundry","Hue",NA,"Mr De’s Foundry, Hue",NA,NA
"376","The Rockpile","Demilitarised Zone (Dmz)",NA,"The Rockpile, Demilitarised Zone (Dmz)",NA,NA
"377","Waterfalls","Dalat & Around",NA,"Waterfalls, Dalat & Around",NA,NA
"378","Linh Son Pagoda","Dalat",NA,"Linh Son Pagoda, Dalat",NA,NA
"379","Bai Loi Voi","Con Dao Islands",NA,"Bai Loi Voi, Con Dao Islands",NA,NA
"380","Coc Ly Market","Bac Ha",NA,"Coc Ly Market, Bac Ha",NA,NA
"381","Turtle Conservation Center","Cuc Phuong National Park",NA,"Turtle Conservation Center, Cuc Phuong National Park",NA,NA
"382","General Museum Complex","Hue",NA,"General Museum Complex, Hue",NA,NA
"383","Dalat Flower Gardens","Dalat",NA,"Dalat Flower Gardens, Dalat",NA,NA
"384","Xo Viet Nghe Tinh Museum","Vinh",NA,"Xo Viet Nghe Tinh Museum, Vinh",NA,NA
"385","Muong Thanh Bridge","Dien Bien Phu",NA,"Muong Thanh Bridge, Dien Bien Phu",NA,NA
"386","Ca Mau Market","Ca Mau",NA,"Ca Mau Market, Ca Mau",NA,NA
"387","Lung Phin Market","Bac Ha",NA,"Lung Phin Market, Bac Ha",NA,NA
"388","My Son Museum","My Son",NA,"My Son Museum, My Son",NA,NA
"389","Phung Hung Old House","Hoi An",NA,"Phung Hung Old House, Hoi An",NA,NA
"390","Citadel","Vinh",NA,"Citadel, Vinh",NA,NA
"391","Cathedral","North-Central Vietnam",NA,"Cathedral, North-Central Vietnam",NA,NA
"392","Coi Nguon Museum","Phu Quoc Island",NA,"Coi Nguon Museum, Phu Quoc Island",NA,NA
"393","Tomb of Thieu Tri","Around Hue",NA,"Tomb of Thieu Tri, Around Hue",NA,NA
"394","Ho Chi Minh Museum","Hue",NA,"Ho Chi Minh Museum, Hue",NA,NA
"395","Leper Hospital Grounds","Quy Nhon",NA,"Leper Hospital Grounds, Quy Nhon",NA,NA
"396","Cho Moi","Long Xuyen",NA,"Cho Moi, Long Xuyen",NA,NA
"397","Dambri Falls","Bao Loc",NA,"Dambri Falls, Bao Loc",NA,NA
"398","Mai Loc Gallery","Nha Trang",NA,"Mai Loc Gallery, Nha Trang",NA,NA
"399","Galerie Quynh","Ho Chi Minh City",NA,"Galerie Quynh, Ho Chi Minh City",NA,NA
"400","Khem Beach","Phu Quoc Island",NA,"Khem Beach, Phu Quoc Island",NA,NA
"401","Hoi An Museum of History & Culture","Hoi An",NA,"Hoi An Museum of History & Culture, Hoi An",NA,NA
"402","Phac Hat Pagoda","Hoi An",NA,"Phac Hat Pagoda, Hoi An",NA,NA
"403","Dam Wall","Hoa Binh",NA,"Dam Wall, Hoa Binh",NA,NA
"404","Ben Tre Museum","Ben Tre",NA,"Ben Tre Museum, Ben Tre",NA,NA
"405","Do Dien Khanh Gallery","Nha Trang",NA,"Do Dien Khanh Gallery, Nha Trang",NA,NA
"406","Tran Hung Dao Temple","Ho Chi Minh City",NA,"Tran Hung Dao Temple, Ho Chi Minh City",NA,NA
"407","Bo Bla Waterfall","South-West Highlands",NA,"Bo Bla Waterfall, South-West Highlands",NA,NA
"408","Dakrong Bridge","Demilitarised Zone (Dmz)",NA,"Dakrong Bridge, Demilitarised Zone (Dmz)",NA,NA
"409","Den Kiep Bac","Northeast Vietnam",NA,"Den Kiep Bac, Northeast Vietnam",NA,NA
"410","Lookout Tower","Son La",NA,"Lookout Tower, Son La",NA,NA
"411","Chua Dat Set","Soc Trang",NA,"Chua Dat Set, Soc Trang",NA,NA
"412","Statue of Me Suot","Dong Hoi",NA,"Statue of Me Suot, Dong Hoi",NA,NA
"413","Kien Giang Museum","Rach Gia",NA,"Kien Giang Museum, Rach Gia",NA,NA
"414","Khmer Minority People’s Museum","Tra Vinh",NA,"Khmer Minority People’s Museum, Tra Vinh",NA,NA
"415","My Tho Market","My Tho",NA,"My Tho Market, My Tho",NA,NA
"416","Night Market","Lang Son",NA,"Night Market, Lang Son",NA,NA
"417","Ong Met Pagoda","Tra Vinh",NA,"Ong Met Pagoda, Tra Vinh",NA,NA
"418","Ong Lan Beach","Phu Quoc Island",NA,"Ong Lan Beach, Phu Quoc Island",NA,NA
"419","Tang Tau Lake","Hue",NA,"Tang Tau Lake, Hue",NA,NA
"420","Stone monument","Vinh",NA,"Stone monument, Vinh",NA,NA
"421","Thu Thien","South-East Coast",NA,"Thu Thien, South-East Coast",NA,NA
"422","Cable-Car Station","Dalat & Around",NA,"Cable-Car Station, Dalat & Around",NA,NA
"423","Research Library","Ho Chi Minh City",NA,"Research Library, Ho Chi Minh City",NA,NA
"424","Tre Lon","Con Dao Islands",NA,"Tre Lon, Con Dao Islands",NA,NA
"425","Phap Lam Pagoda","Danang",NA,"Phap Lam Pagoda, Danang",NA,NA
"426","Tu Ton Rose Garden","Sa Dec",NA,"Tu Ton Rose Garden, Sa Dec",NA,NA
"427","Cao Dai Temple","Sa Dec",NA,"Cao Dai Temple, Sa Dec",NA,NA
"428","Ankroët Falls","Dalat & Around",NA,"Ankroët Falls, Dalat & Around",NA,NA
"429","Museum","Hoa Binh",NA,"Museum, Hoa Binh",NA,NA
"430","Tam An Pagoda","Quy Nhon",NA,"Tam An Pagoda, Quy Nhon",NA,NA
"431","Cam Pho Temple","Hoi An",NA,"Cam Pho Temple, Hoi An",NA,NA
"432","Vong Beach","Phu Quoc Island",NA,"Vong Beach, Phu Quoc Island",NA,NA
"433","Canh Tien","South-East Coast",NA,"Canh Tien, South-East Coast",NA,NA
"434","Gia Lai Museum","Pleiku",NA,"Gia Lai Museum, Pleiku",NA,NA
"435","Bai An Hai","Con Dao Islands",NA,"Bai An Hai, Con Dao Islands",NA,NA
"436","Thai Giang Pho Waterfall","Bac Ha",NA,"Thai Giang Pho Waterfall, Bac Ha",NA,NA
"437","Gougah Falls","Dalat & Around",NA,"Gougah Falls, Dalat & Around",NA,NA
"438","Dong Xuan Market","Hanoi",NA,"Dong Xuan Market, Hanoi",NA,NA
"439","Cao Dai Temple","Ca Mau",NA,"Cao Dai Temple, Ca Mau",NA,NA
"440","Bao Tang Quang Tri","Dong Ha",NA,"Bao Tang Quang Tri, Dong Ha",NA,NA
"441","Sapa Radio Tower","Sapa",NA,"Sapa Radio Tower, Sapa",NA,NA
"442","Hoa Binh Museum","Hoa Binh",NA,"Hoa Binh Museum, Hoa Binh",NA,NA
"443","Buu Quang Pagoda","Sa Dec",NA,"Buu Quang Pagoda, Sa Dec",NA,NA
"444","Quang Cong Pagoda","Phan Rang & Thap Cham",NA,"Quang Cong Pagoda, Phan Rang & Thap Cham",NA,NA
"445","Ho Chi Minh Museum","Hang Pac Bo (Water-Wheel Cave)",NA,"Ho Chi Minh Museum, Hang Pac Bo (Water-Wheel Cave)",NA,NA
"446","Navy Museum","Haiphong",NA,"Navy Museum, Haiphong",NA,NA
"447","Cao Dai Temple","Rach Gia",NA,"Cao Dai Temple, Rach Gia",NA,NA
"448","Couvent des Oiseaux","Dalat",NA,"Couvent des Oiseaux, Dalat",NA,NA
"449","Phu Loc","Central Vietnam",NA,"Phu Loc, Central Vietnam",NA,NA
"450","Binh Lam","South-East Coast",NA,"Binh Lam, South-East Coast",NA,NA
"451","Cao Dai Temple","My Tho",NA,"Cao Dai Temple, My Tho",NA,NA
"452","Quang Duc Gate","Hue",NA,"Quang Duc Gate, Hue",NA,NA
"453","Nine Holy Cannons","Hue",NA,"Nine Holy Cannons, Hue",NA,NA
"454","Nhi Thanh Cave","Lang Son",NA,"Nhi Thanh Cave, Lang Son",NA,NA
"455","Can Chanh Palace","Hue",NA,"Can Chanh Palace, Hue",NA,NA
"456","Con Son Pagoda","Con Son & Den Kiep Bac",NA,"Con Son Pagoda, Con Son & Den Kiep Bac",NA,NA
"457","Duong Dong Market","Phu Quoc Island",NA,"Duong Dong Market, Phu Quoc Island",NA,NA
"458","Vuong Palace","From Tam Son to Dong Van",NA,"Vuong Palace, From Tam Son to Dong Van",NA,NA
"459","Thai Binh Market","Ho Chi Minh City",NA,"Thai Binh Market, Ho Chi Minh City",NA,NA
"460","Vinh’s Citadel Left Gate","Vinh",NA,"Vinh’s Citadel Left Gate, Vinh",NA,NA
"461","U-Minh Forest","U-Minh Forest",NA,"U-Minh Forest, U-Minh Forest",NA,NA
"462","Uncle Ho Museum","Hang Pac Bo (Water-Wheel Cave)",NA,"Uncle Ho Museum, Hang Pac Bo (Water-Wheel Cave)",NA,NA
"463","Tien Son Cave","Phong Nha-Ke Bang National Park",NA,"Tien Son Cave, Phong Nha-Ke Bang National Park",NA,NA
"464","Tam Thanh Cave","Lang Son",NA,"Tam Thanh Cave, Lang Son",NA,NA
"465","Ke Ga Lighthouse","South-East Coast",NA,"Ke Ga Lighthouse, South-East Coast",NA,NA
"466","Nine Holy Cannons","Hue",NA,"Nine Holy Cannons, Hue",NA,NA
"467","Ngan Gate","Hue",NA,"Ngan Gate, Hue",NA,NA
"468","One Pillar Pagoda of Thu Duc","One Pillar Pagoda",NA,"One Pillar Pagoda of Thu Duc, One Pillar Pagoda",NA,NA
"469","Vinh’s Citadel Front Gate","Vinh",NA,"Vinh’s Citadel Front Gate, Vinh",NA,NA
"470","Dien Bien Phu Cemetery","Dien Bien Phu",NA,"Dien Bien Phu Cemetery, Dien Bien Phu",NA,NA
"471","Suoi Tranh","Phu Quoc Island",NA,"Suoi Tranh, Phu Quoc Island",NA,NA
"472","Thung Nham","Ninh Binh Province",NA,"Thung Nham, Ninh Binh Province",NA,NA
"473","Ba Na","Ba Na Hill Station",NA,"Ba Na, Ba Na Hill Station",NA,NA
"474","Crescent","Ho Chi Minh City",NA,"Crescent, Ho Chi Minh City",NA,NA
"475","Tourist Train","Cat Ba Island",NA,"Tourist Train, Cat Ba Island",NA,NA
"476","Cat Cat","Sapa",NA,"Cat Cat, Sapa",NA,NA
"477","Chua Bai Dinh","Ninh Binh Province",NA,"Chua Bai Dinh, Ninh Binh Province",NA,NA
"478","Fairy Spring","Around Nha Trang",NA,"Fairy Spring, Around Nha Trang",NA,NA
"479","Dai Beach","Phu Quoc Island",NA,"Dai Beach, Phu Quoc Island",NA,NA
"480","Chapel","Nui Son Tra (Monkey Mountain)",NA,"Chapel, Nui Son Tra (Monkey Mountain)",NA,NA
"481","Hon Mieu Aquarium","Nha Trang",NA,"Hon Mieu Aquarium, Nha Trang",NA,NA
"482","Kiep Bac Temple","Con Son & Den Kiep Bac",NA,"Kiep Bac Temple, Con Son & Den Kiep Bac",NA,NA
"483","Linh Ung","Nui Son Tra (Monkey Mountain)",NA,"Linh Ung, Nui Son Tra (Monkey Mountain)",NA,NA
"484","Mui Nai","Mui Nai",NA,"Mui Nai, Mui Nai",NA,NA
"485","War Memorial","Cao Bang",NA,"War Memorial, Cao Bang",NA,NA
"486","Vung Bau Beach","Phu Quoc Island",NA,"Vung Bau Beach, Phu Quoc Island",NA,NA
"487","Duyen Hai War Memorial","Can Gio",NA,"Duyen Hai War Memorial, Can Gio",NA,NA
"488","Pilgrimage Spots","Kim Lien",NA,"Pilgrimage Spots, Kim Lien",NA,NA
"489","Sanctuary","Phoenix Island",NA,"Sanctuary, Phoenix Island",NA,NA
"490","Thom Beach","Phu Quoc Island",NA,"Thom Beach, Phu Quoc Island",NA,NA
"491","Night Market","Ha Tien",NA,"Night Market, Ha Tien",NA,NA
"492","Night Market","Con Dao Islands",NA,"Night Market, Con Dao Islands",NA,NA
"493","French War Memorial","Dien Bien Phu",NA,"French War Memorial, Dien Bien Phu",NA,NA
"494","Fish Market","Dong Hoi",NA,"Fish Market, Dong Hoi",NA,NA
"495","Tam Toa Church","Dong Hoi",NA,"Tam Toa Church, Dong Hoi",NA,NA
"496","Thai To Mieu Temple Complex","Hue",NA,"Thai To Mieu Temple Complex, Hue",NA,NA
"497","University of Arts","Hue",NA,"University of Arts, Hue",NA,NA
"498","Vinh’s Citadel Right Gate","Vinh",NA,"Vinh’s Citadel Right Gate, Vinh",NA,NA
"499","Ta Phin Village","Sapa",NA,"Ta Phin Village, Sapa",NA,NA
"500","Trang An","Ninh Binh Province",NA,"Trang An, Ninh Binh Province",NA,NA
"501","Phong Nha-Ke Bang National Park","Phong Nha-Ke Bang National Park",NA,"Phong Nha-Ke Bang National Park, Phong Nha-Ke Bang National Park",NA,NA
"502","Dolphin","Vung Tau",NA,"Dolphin, Vung Tau",NA,NA
"503","Ho Chi Minh Statue","Pleiku",NA,"Ho Chi Minh Statue, Pleiku",NA,NA
