"","name","address","type","fullLocation","lat","lng"
"63","Citadel","Hue",NA,"Citadel, Hue",NA,NA
"64","Paradise Cave","Phong Nha-Ke Bang National Park",NA,"Paradise Cave, Phong Nha-Ke Bang National Park",NA,NA
"65","Con Son Beaches & Other Islands Beaches","Con Dao Islands",NA,"Con Son Beaches & Other Islands Beaches, Con Dao Islands",NA,NA
"66","Lan Ha Bay","Cat Ba Island",NA,"Lan Ha Bay, Cat Ba Island",NA,NA
"67","Minority Villages","Kon Tum",NA,"Minority Villages, Kon Tum",NA,NA
"68","Clay Pagoda","Soc Trang",NA,"Clay Pagoda, Soc Trang",NA,NA
"69","Tomb of Minh Mang","Hue",NA,"Tomb of Minh Mang, Hue",NA,NA
"70","Giac Lam Pagoda","Ho Chi Minh City",NA,"Giac Lam Pagoda, Ho Chi Minh City",NA,NA
"71","Khanh Van Nam Vien Pagoda","Ho Chi Minh City",NA,"Khanh Van Nam Vien Pagoda, Ho Chi Minh City",NA,NA
"72","Bidoup Nui Ba National Park ","South-West Highlands",NA,"Bidoup Nui Ba National Park , South-West Highlands",NA,NA
"73","Monkey Island Eco Forest Park","Can Gio",NA,"Monkey Island Eco Forest Park, Can Gio",NA,NA
"74","Phong Nha Caves & Boat Trip","Phong Nha-Ke Bang National Park",NA,"Phong Nha Caves & Boat Trip, Phong Nha-Ke Bang National Park",NA,NA
"75","Bat Pagoda","Soc Trang",NA,"Bat Pagoda, Soc Trang",NA,NA
"76","Phung Son Pagoda","Ho Chi Minh City",NA,"Phung Son Pagoda, Ho Chi Minh City",NA,NA
"77","Long Beach","Phu Quoc Island",NA,"Long Beach, Phu Quoc Island",NA,NA
"78","Tran Family Chapel","Hoi An",NA,"Tran Family Chapel, Hoi An",NA,NA
"79","Quy Hoa Beach & Leper Hospital","Quy Nhon",NA,"Quy Hoa Beach & Leper Hospital, Quy Nhon",NA,NA
"80","Alexandre Yersin Museum","Nha Trang",NA,"Alexandre Yersin Museum, Nha Trang",NA,NA
"81","Ho Chi Minh’s Stilt House & the Presidential Palace","Hanoi",NA,"Ho Chi Minh’s Stilt House & the Presidential Palace, Hanoi",NA,NA
"82","HCMC Museum","Ho Chi Minh City",NA,"HCMC Museum, Ho Chi Minh City",NA,NA
"83","Cavern Pagoda","Sam Mountain",NA,"Cavern Pagoda, Sam Mountain",NA,NA
"84","Group A","My Son",NA,"Group A, My Son",NA,NA
"85","Giac Vien Pagoda","Ho Chi Minh City",NA,"Giac Vien Pagoda, Ho Chi Minh City",NA,NA
"86","Tiger Cages","Con Dao Islands",NA,"Tiger Cages, Con Dao Islands",NA,NA
"87","Mariamman Hindu Temple","Ho Chi Minh City",NA,"Mariamman Hindu Temple, Ho Chi Minh City",NA,NA
"88","Thay Pagoda","Thay & Tay Phuong Pagodas",NA,"Thay Pagoda, Thay & Tay Phuong Pagodas",NA,NA
"89","Ho Chi Minh Museum","Ho Chi Minh City",NA,"Ho Chi Minh Museum, Ho Chi Minh City",NA,NA
